SUKL kod;Celkova cena;Datum zmeny;Zdroj
00046;0.49;15.10.2024;mzsr
00049;0.98;15.10.2024;mzsr
00050;1.47;15.10.2024;mzsr
00051;2.45;15.10.2024;mzsr
00109;1.63;15.10.2024;mzsr
00112;2.45;15.10.2024;mzsr
00113;1.99;15.10.2024;mzsr
00115;2.52;15.10.2024;mzsr
00168;1.79;15.10.2024;mzsr
00231;1.46;15.10.2024;mzsr
0024F;5.79;03.10.2025;mzsr
00269;2.70;15.10.2024;mzsr
0026F;19.30;03.10.2025;mzsr
0027F;6.51;03.10.2025;mzsr
0029F;21.70;03.10.2025;mzsr
0030F;6.87;03.10.2025;mzsr
00362;4.64;15.10.2024;mzsr
00407;9.05;15.10.2024;mzsr
00502;6.30;04.02.2025;mzsr
00530;5.65;15.10.2024;mzsr
00536;2.17;15.10.2024;mzsr
00542;36.29;15.10.2024;mzsr
00616;3.34;15.10.2024;mzsr
00641;0.90;02.12.2024;mzsr
00643;2.98;15.10.2024;mzsr
00707;2.94;15.10.2024;mzsr
0070A;11.25;15.10.2024;mzsr
0071A;33.75;15.10.2024;mzsr
00720;4.47;04.02.2025;mzsr
00858;0.97;15.10.2024;mzsr
00916;3.78;15.10.2024;mzsr
00959;36.55;15.10.2024;mzsr
00991;9.00;15.10.2024;mzsr
0102F;234.86;03.10.2025;mzsr
01051;2.10;15.10.2024;mzsr
01066;0.77;15.10.2024;mzsr
01069;0.64;15.10.2024;mzsr
01076;0.89;15.10.2024;mzsr
01077;0.87;15.10.2024;mzsr
01096;2.80;15.10.2024;mzsr
01108;9.00;15.10.2024;mzsr
01125;3.59;15.10.2024;mzsr
01127;4.16;15.10.2024;mzsr
01188;1.12;15.10.2024;mzsr
01198;3.92;15.10.2024;mzsr
01215;2.24;15.10.2024;mzsr
01223;7.84;15.10.2024;mzsr
01300;94.17;15.10.2024;mzsr
01328;6.16;15.10.2024;mzsr
01348;7.28;15.10.2024;mzsr
01349;18.20;15.10.2024;mzsr
01399;174.00;15.10.2024;mzsr
0148A;4.50;15.10.2024;mzsr
01538;3.39;15.10.2024;mzsr
0153E;794.83;15.10.2024;mzsr
01545;3.81;15.10.2024;mzsr
01585;2.10;15.10.2024;mzsr
01590;6.75;15.10.2024;mzsr
01604;2.80;15.10.2024;mzsr
01609;9.00;15.10.2024;mzsr
0160E;706.56;15.10.2024;mzsr
0162A;9.52;15.10.2024;mzsr
01656;71.31;15.10.2024;mzsr
0166B;23.55;15.10.2024;mzsr
01689;25.67;15.10.2024;mzsr
01710;2.39;15.10.2024;mzsr
01711;7.95;15.10.2024;mzsr
0171A;14.28;15.10.2024;mzsr
0172E;794.83;15.10.2024;mzsr
01746;5.07;15.10.2024;mzsr
01796;52.69;15.10.2024;mzsr
0181E;706.56;15.10.2024;mzsr
0186B;152.02;15.10.2024;mzsr
0188D;3750.49;15.10.2024;mzsr
01914;35.82;15.10.2024;mzsr
01932;91.40;15.10.2024;mzsr
01936;182.81;15.10.2024;mzsr
01940;0.94;15.10.2024;mzsr
01943;4.51;15.10.2024;mzsr
02078;5.36;15.10.2024;mzsr
02079;0.62;15.10.2024;mzsr
0207D;0.89;15.10.2024;mzsr
02085;25.80;15.10.2024;mzsr
02087;77.43;15.10.2024;mzsr
0208A;3.36;15.10.2024;mzsr
02113;4.60;15.10.2024;mzsr
02130;8.52;15.10.2024;mzsr
02131;23.00;15.10.2024;mzsr
0213A;4.05;15.10.2024;mzsr
0218A;2.91;15.10.2024;mzsr
02195;5.37;15.10.2024;mzsr
0226D;2207.01;15.10.2024;mzsr
02276;20.05;15.10.2024;mzsr
02282;40.10;15.10.2024;mzsr
02284;3.70;15.10.2024;mzsr
02288;80.19;15.10.2024;mzsr
0228D;2207.01;15.10.2024;mzsr
0230D;2207.01;15.10.2024;mzsr
02336;24.53;15.10.2024;mzsr
02347;32.72;15.10.2024;mzsr
02356;9.79;15.10.2024;mzsr
02418;13.79;15.10.2024;mzsr
02479;1.06;15.10.2024;mzsr
02481;8.45;15.10.2024;mzsr
0249B;264.68;15.10.2024;mzsr
0251A;3.07;15.10.2024;mzsr
0251C;174.00;15.10.2024;mzsr
02537;1.92;15.10.2024;mzsr
02538;2.83;15.10.2024;mzsr
02539;1.76;15.10.2024;mzsr
0256B;52.72;15.10.2024;mzsr
02578;144.88;15.10.2024;mzsr
0258C;18.40;15.10.2024;mzsr
02590;9.90;15.10.2024;mzsr
02594;6.86;15.10.2024;mzsr
02603;24.01;15.10.2024;mzsr
02618;8.12;15.10.2024;mzsr
0266A;3.36;15.10.2024;mzsr
0267E;1.12;15.10.2024;mzsr
02680;3.24;15.10.2024;mzsr
0271A;2.91;15.10.2024;mzsr
0272A;8.73;15.10.2024;mzsr
02731;750.59;15.10.2024;mzsr
02747;2.93;15.10.2024;mzsr
0274E;3.60;15.10.2024;mzsr
02761;4.44;15.10.2024;mzsr
02785;2.00;15.10.2024;mzsr
02828;1.60;15.10.2024;mzsr
02829;1.73;15.10.2024;mzsr
0283D;6.03;15.10.2024;mzsr
02871;4.56;15.10.2024;mzsr
0287A;3.72;15.10.2024;mzsr
0287D;18.09;15.10.2024;mzsr
02946;1.29;15.10.2024;mzsr
02951;1.89;15.10.2024;mzsr
02963;6.36;15.10.2024;mzsr
02970;8.57;15.10.2024;mzsr
02973;1.74;15.10.2024;mzsr
0301D;6.78;15.10.2024;mzsr
03023;12.59;15.10.2024;mzsr
0305D;20.34;15.10.2024;mzsr
0309A;4.50;15.10.2024;mzsr
0310A;13.50;15.10.2024;mzsr
0310B;61.16;15.10.2024;mzsr
0310D;7.20;15.10.2024;mzsr
0312A;4.05;15.10.2024;mzsr
03132;77.04;15.10.2024;mzsr
03134;221.43;15.10.2024;mzsr
0313A;12.15;15.10.2024;mzsr
0316D;1.96;15.10.2024;mzsr
0320B;42.29;15.10.2024;mzsr
0320D;3.22;15.10.2024;mzsr
0322D;3.64;15.10.2024;mzsr
03260;251.10;15.10.2024;mzsr
0327C;24.07;15.10.2024;mzsr
0328E;12.24;15.10.2024;mzsr
0329D;4.83;15.10.2024;mzsr
03303;8.62;15.10.2024;mzsr
0331D;6.81;15.10.2024;mzsr
0332B;4.06;15.10.2024;mzsr
0333D;7.68;15.10.2024;mzsr
0335D;2902.55;15.10.2024;mzsr
03365;1.86;15.10.2024;mzsr
0336E;10.47;15.10.2024;mzsr
03378;0.50;15.10.2024;mzsr
03417;4.35;15.10.2024;mzsr
0341C;186.87;15.10.2024;mzsr
0347D;149.04;15.10.2024;mzsr
0350B;5.26;15.10.2024;mzsr
0350D;163.59;15.10.2024;mzsr
03514;15.96;15.10.2024;mzsr
0351C;8.13;15.10.2024;mzsr
03542;1.80;15.10.2024;mzsr
0358B;1274.21;15.10.2024;mzsr
03617;3.27;15.10.2024;mzsr
0363E;14827.50;15.10.2024;mzsr
0366C;4.67;15.10.2024;mzsr
03692;2.94;15.10.2024;mzsr
0371B;181.62;15.10.2024;mzsr
03739;20.29;15.10.2024;mzsr
0373C;7.28;15.10.2024;mzsr
0374C;18.20;15.10.2024;mzsr
0375B;4.89;15.10.2024;mzsr
03776;57.51;15.10.2024;mzsr
03783;18.35;15.10.2024;mzsr
0381C;7.28;15.10.2024;mzsr
0382B;41.07;15.10.2024;mzsr
0382C;18.20;15.10.2024;mzsr
0384B;234.09;15.10.2024;mzsr
03856;396.48;15.10.2024;mzsr
0385B;70.23;15.10.2024;mzsr
0387B;117.06;15.10.2024;mzsr
0389B;299.09;15.10.2024;mzsr
03907;4.40;15.10.2024;mzsr
0391B;598.18;15.10.2024;mzsr
0398C;6.05;15.10.2024;mzsr
0406B;65.79;15.10.2024;mzsr
04071;8.22;04.02.2025;mzsr
04076;3.72;15.10.2024;mzsr
04078;6.20;15.10.2024;mzsr
0410C;20.37;15.10.2024;mzsr
04156;2.10;15.10.2024;mzsr
0416C;21.27;15.10.2024;mzsr
04178;1.70;15.10.2024;mzsr
04241;3.69;15.10.2024;mzsr
04304;14.50;15.10.2024;mzsr
04306;1.31;15.10.2024;mzsr
0430C;476.18;15.10.2024;mzsr
04311;1.31;15.10.2024;mzsr
0432C;8800.49;15.10.2024;mzsr
04330;70.20;15.10.2024;mzsr
04380;23.25;15.10.2024;mzsr
0440A;4.79;15.10.2024;mzsr
0456A;7.44;15.10.2024;mzsr
0458E;6.54;15.10.2024;mzsr
04619;1.89;15.10.2024;mzsr
04621;5.67;15.10.2024;mzsr
04622;4.50;15.10.2024;mzsr
04625;3.84;15.10.2024;mzsr
04627;11.52;15.10.2024;mzsr
0462C;20.05;15.10.2024;mzsr
04652;14.39;15.10.2024;mzsr
0466E;19.62;15.10.2024;mzsr
0471B;11.50;15.10.2024;mzsr
0475D;4.25;15.10.2024;mzsr
0476C;40.10;15.10.2024;mzsr
0476D;12.75;15.10.2024;mzsr
04786;3.53;15.10.2024;mzsr
0478E;8.28;15.10.2024;mzsr
04791;12.35;15.10.2024;mzsr
04859;141.27;15.10.2024;mzsr
0486E;24.84;15.10.2024;mzsr
04884;22.05;15.10.2024;mzsr
0490C;80.19;15.10.2024;mzsr
0492D;25.12;15.10.2024;mzsr
0496C;6.54;15.10.2024;mzsr
04976;4.55;15.10.2024;mzsr
0497C;16.35;15.10.2024;mzsr
04986;11.46;15.10.2024;mzsr
0498E;9.12;15.10.2024;mzsr
04998;15.19;15.10.2024;mzsr
05041;1.12;15.10.2024;mzsr
05044;0.56;15.10.2024;mzsr
05053;4.84;15.10.2024;mzsr
05060;16.94;15.10.2024;mzsr
0507D;1292.97;15.10.2024;mzsr
05089;3.98;15.10.2024;mzsr
05097;14.20;15.10.2024;mzsr
05108;6.15;15.10.2024;mzsr
0510D;66.26;15.10.2024;mzsr
05116;21.93;15.10.2024;mzsr
0511C;136.66;15.10.2024;mzsr
0512E;30.40;15.10.2024;mzsr
05158;2.39;15.10.2024;mzsr
05161;4.79;15.10.2024;mzsr
05172;3.72;15.10.2024;mzsr
05175;7.45;15.10.2024;mzsr
05182;16.17;15.10.2024;mzsr
05194;15.73;15.10.2024;mzsr
0524C;4.83;15.10.2024;mzsr
05252;2.58;15.10.2024;mzsr
05254;3.29;15.10.2024;mzsr
05256;4.02;15.10.2024;mzsr
